Sede,Carrera,Plan,Jornada,Nivel,Sigla,Asignatura,Sección,Horario,Docente
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,PFC011,LA SOCIEDAD DEL FUTURO: UN RETO SOLIDARI,PFC011-008D,Ju 8:31:00 - 9:50:00,
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,PFC011,LA SOCIEDAD DEL FUTURO: UN RETO SOLIDARI,PFC011-009D,Mi 17:31:00 - 18:50:00,OSCAR ANDRES RUBILAR
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-008D,Ju 16:01:00 - 17:20:00,CARLOS ALBERTO ABARZUA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-007D,Ju 17:31:00 - 18:50:00,CARLOS ALBERTO ABARZUA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-006D,Ju 14:31:00 - 15:50:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-003D,Ju 13:01:00 - 14:20:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-009D,Mi 14:31:00 - 15:50:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-006D,Mi 13:01:00 - 14:20:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-005D,Mi 8:31:00 - 9:50:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-004D,Mi 11:31:00 - 12:50:00,JOSE LUIS BARRIA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-009D,Ma 14:31:00 - 15:50:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-008D,Ma 16:01:00 - 17:20:00,CARLOS ALBERTO ABARZUA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-007D,Ma 17:31:00 - 18:50:00,CARLOS ALBERTO ABARZUA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-005D,Ma 8:31:00 - 9:50:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-004D,Ma 8:31:00 - 9:50:00,JOSE LUIS BARRIA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,Optativos,OCY1102,CIBERSEGURIDAD EN DESARROLLO,OCY1102-003D,Ma 13:01:00 - 14:20:00,JUAN CARLOS ARAVENA
ANTONIO VARAS,INGENIERÍA EN INFORMÁTICA,1446115,Diurno,4,EAY4730,ÉTICA PARA EL TRABAJO,EAY4730-004D,Vi 11:31:00 - 12:50:00,DANIEL ANDRES QUITRAL
